타입,원본시퀀스길이,오류개수,실제맞춘개수,결과종류,예측시퀀스,정답시퀀스
m,40,11,20,9,9,9
m,40,11,21,7,7,7
m,40,11,22,7,7,7
m,40,11,23,7,7,7
m,40,11,24,5,5,5
m,40,11,25,3,3,3
m,40,11,26,1,1,1
m,40,11,27,4,4,4
m,40,11,28,9,9,9
m,40,11,29,9,9,9
m,40,11,30,1,1,1
m,40,11,31,7,7,7
m,40,11,32,4,4,4
m,40,11,33,2,2,2
m,40,11,34,10,10,10
m,40,11,35,8,8,8
m,40,11,36,13,13,13
m,40,11,37,11,11,11
m,40,11,38,87,87,87
m,40,11,39,2205,2205,2205
m,40,12,2,4,4,4
m,40,12,3,6,6,6
m,40,12,4,9,9,9
m,40,12,5,14,14,14
m,40,12,6,3,3,3
m,40,12,7,6,6,6
m,40,12,8,10,10,10
m,40,12,9,13,13,13
m,40,12,10,6,6,6
m,40,12,11,4,4,4
m,40,12,12,6,6,6
m,40,12,13,6,6,6
m,40,12,14,6,6,6
m,40,12,15,11,11,11
m,40,12,16,1,1,1
m,40,12,17,10,10,10
m,40,12,18,10,10,10
m,40,12,19,10,10,10
m,40,12,20,8,8,8
m,40,12,21,6,6,6
m,40,12,22,7,7,7
m,40,12,23,9,9,9
m,40,12,24,7,7,7
m,40,12,25,5,5,5
m,40,12,26,5,5,5
m,40,12,27,8,8,8
m,40,12,28,7,7,7
m,40,12,29,4,4,4
m,40,12,30,4,4,4
m,40,12,31,2,2,2
m,40,12,32,8,8,8
m,40,12,33,4,4,4
m,40,12,34,9,9,9
m,40,12,35,6,6,6
m,40,12,36,3,3,3
m,40,12,37,9,9,9
m,40,12,38,89,89,89
m,40,12,39,2204,2204,2204
m,40,13,1,2,2,2
m,40,13,2,3,3,3
m,40,13,3,4,4,4
m,40,13,4,11,11,11
m,40,13,5,13,13,13
m,40,13,6,8,8,8
m,40,13,7,9,9,9
m,40,13,8,8,8,8
m,40,13,9,9,9,9
m,40,13,10,9,9,9
m,40,13,11,9,9,9
m,40,13,12,11,11,11
m,40,13,13,9,9,9
m,40,13,14,9,9,9
m,40,13,15,10,10,10
m,40,13,16,4,4,4
m,40,13,17,6,6,6
m,40,13,18,1,1,1
m,40,13,19,5,5,5
m,40,13,20,4,4,4
m,40,13,21,5,5,5
m,40,13,22,2,2,2
m,40,13,23,7,7,7
m,40,13,24,8,8,8
m,40,13,25,7,7,7
m,40,13,26,10,10,10
m,40,13,27,6,6,6
m,40,13,28,6,6,6
m,40,13,29,8,8,8
m,40,13,30,5,5,5
m,40,13,31,4,4,4
m,40,13,32,6,6,6
m,40,13,33,5,5,5
m,40,13,34,18,18,18
m,40,13,35,9,9,9
m,40,13,36,6,6,6
m,40,13,37,9,9,9
m,40,13,38,100,100,100
m,40,13,39,2136,2136,2136
m,40,14,1,2,2,2
m,40,14,2,3,3,3
m,40,14,3,6,6,6
m,40,14,4,8,8,8
m,40,14,5,15,15,15
m,40,14,6,1,1,1
m,40,14,7,5,5,5
m,40,14,8,6,6,6
m,40,14,9,3,3,3
m,40,14,10,12,12,12
m,40,14,11,3,3,3
m,40,14,12,11,11,11
m,40,14,13,5,5,5
m,40,14,14,9,9,9
m,40,14,15,7,7,7
m,40,14,16,5,5,5
m,40,14,17,8,8,8
m,40,14,18,5,5,5
m,40,14,19,11,11,11
m,40,14,20,7,7,7
m,40,14,21,10,10,10
m,40,14,22,4,4,4
m,40,14,23,4,4,4
m,40,14,24,6,6,6
m,40,14,25,4,4,4
m,40,14,26,1,1,1
m,40,14,27,13,13,13
m,40,14,28,6,6,6
m,40,14,29,7,7,7
m,40,14,30,5,5,5
m,40,14,31,4,4,4
m,40,14,32,8,8,8
m,40,14,33,11,11,11
m,40,14,34,15,15,15
m,40,14,35,8,8,8
m,40,14,36,7,7,7
m,40,14,37,15,15,15
m,40,14,38,105,105,105
m,40,14,39,2162,2162,2162
m,40,15,1,2,2,2
m,40,15,2,6,6,6
m,40,15,3,3,3,3
m,40,15,4,12,12,12
m,40,15,5,22,22,22
m,40,15,6,11,11,11
m,40,15,7,6,6,6
m,40,15,8,3,3,3
m,40,15,9,8,8,8
m,40,15,10,8,8,8
m,40,15,11,4,4,4
m,40,15,12,9,9,9
m,40,15,13,3,3,3
m,40,15,14,6,6,6
m,40,15,15,7,7,7
m,40,15,16,12,12,12
m,40,15,17,7,7,7
m,40,15,18,6,6,6
m,40,15,19,7,7,7
m,40,15,20,7,7,7
m,40,15,21,4,4,4
m,40,15,22,4,4,4
m,40,15,23,7,7,7
m,40,15,24,9,9,9
m,40,15,25,5,5,5
m,40,15,26,7,7,7
m,40,15,27,6,6,6
m,40,15,28,5,5,5
m,40,15,29,8,8,8
m,40,15,30,7,7,7
m,40,15,31,8,8,8
m,40,15,32,6,6,6
m,40,15,33,12,12,12
m,40,15,34,15,15,15
m,40,15,35,5,5,5
m,40,15,36,14,14,14
m,40,15,37,12,12,12
m,40,15,38,106,106,106
m,40,15,39,2051,2051,2051
m,40,16,1,1,1,1
m,40,16,3,7,7,7
m,40,16,4,17,17,17
m,40,16,5,21,21,21
m,40,16,6,5,5,5
m,40,16,7,12,12,12
m,40,16,8,8,8,8
m,40,16,9,10,10,10
m,40,16,10,15,15,15
m,40,16,11,7,7,7
m,40,16,12,6,6,6
m,40,16,13,7,7,7
m,40,16,14,8,8,8
m,40,16,15,8,8,8
m,40,16,16,4,4,4
m,40,16,17,5,5,5
m,40,16,18,8,8,8
m,40,16,19,9,9,9
m,40,16,20,10,10,10
m,40,16,21,3,3,3
m,40,16,22,9,9,9
m,40,16,23,10,10,10
m,40,16,24,3,3,3
m,40,16,25,7,7,7
m,40,16,26,10,10,10
m,40,16,27,8,8,8
m,40,16,28,7,7,7
m,40,16,29,5,5,5
m,40,16,30,7,7,7
m,40,16,31,6,6,6
m,40,16,32,6,6,6
m,40,16,33,9,9,9
m,40,16,34,24,24,24
m,40,16,35,4,4,4
m,40,16,36,6,6,6
m,40,16,37,20,20,20
m,40,16,38,119,119,119
m,40,16,39,2097,2097,2097
