타입,원본시퀀스길이,오류개수,실제맞춘개수,결과종류,예측시퀀스,정답시퀀스
m,20,6,1,3,3,3
m,20,6,2,6,6,6
m,20,6,3,15,15,15
m,20,6,4,7,7,7
m,20,6,5,12,12,12
m,20,6,6,9,9,9
m,20,6,7,8,8,8
m,20,6,8,10,10,10
m,20,6,9,4,4,4
m,20,6,10,5,5,5
m,20,6,11,5,5,5
m,20,6,12,9,9,9
m,20,6,13,7,7,7
m,20,6,14,6,6,6
m,20,6,15,7,7,7
m,20,6,16,12,12,12
m,20,6,17,8,8,8
m,20,6,18,16,16,16
m,20,6,19,50,50,50
m,20,6,20,2238,2238,2238
m,20,7,1,3,3,3
m,20,7,2,11,11,11
m,20,7,3,12,12,12
m,20,7,4,14,14,14
m,20,7,5,11,11,11
m,20,7,6,12,12,12
m,20,7,7,9,9,9
m,20,7,8,8,8,8
m,20,7,9,7,7,7
m,20,7,10,8,8,8
m,20,7,11,8,8,8
m,20,7,12,9,9,9
m,20,7,13,11,11,11
m,20,7,14,11,11,11
m,20,7,15,10,10,10
m,20,7,16,9,9,9
m,20,7,17,14,14,14
m,20,7,18,17,17,17
m,20,7,19,77,77,77
m,20,7,20,2310,2310,2310
m,20,8,1,5,5,5
m,20,8,2,3,3,3
m,20,8,3,16,16,16
m,20,8,4,14,14,14
m,20,8,5,13,13,13
m,20,8,6,12,12,12
m,20,8,7,10,10,10
m,20,8,8,12,12,12
m,20,8,9,6,6,6
m,20,8,10,8,8,8
m,20,8,11,13,13,13
m,20,8,12,6,6,6
m,20,8,13,11,11,11
m,20,8,14,10,10,10
m,20,8,15,17,17,17
m,20,8,16,13,13,13
m,20,8,17,16,16,16
m,20,8,18,23,23,23
m,20,8,19,78,78,78
m,20,8,20,2213,2213,2213
m,25,0,1,5,5,5
m,25,0,3,10,10,10
m,25,0,4,8,8,8
m,25,0,5,5,5,5
m,25,0,6,3,3,3
m,25,0,7,9,9,9
m,25,0,8,5,5,5
m,25,0,9,8,8,8
m,25,0,10,5,5,5
m,25,0,11,5,5,5
m,25,0,12,2,2,2
m,25,0,13,10,10,10
m,25,0,14,10,10,10
m,25,0,15,4,4,4
m,25,0,16,8,8,8
m,25,0,17,9,9,9
m,25,0,18,6,6,6
m,25,0,19,4,4,4
m,25,0,20,6,6,6
m,25,0,21,6,6,6
m,25,0,22,5,5,5
m,25,0,23,6,6,6
m,25,0,24,3,3,3
m,25,0,25,2299,2299,2299
m,25,1,1,5,5,5
m,25,1,2,2,2,2
m,25,1,3,10,10,10
m,25,1,4,14,14,14
m,25,1,5,5,5,5
m,25,1,6,2,2,2
m,25,1,7,5,5,5
m,25,1,8,9,9,9
m,25,1,9,5,5,5
m,25,1,10,4,4,4
m,25,1,11,3,3,3
m,25,1,12,6,6,6
m,25,1,13,12,12,12
m,25,1,14,11,11,11
m,25,1,15,13,13,13
m,25,1,16,4,4,4
m,25,1,17,9,9,9
m,25,1,18,4,4,4
m,25,1,19,6,6,6
m,25,1,20,9,9,9
m,25,1,21,3,3,3
m,25,1,22,4,4,4
m,25,1,23,5,5,5
m,25,1,24,14,14,14
m,25,1,25,2294,2294,2294
m,25,2,1,3,3,3
m,25,2,2,2,2,2
m,25,2,3,9,9,9
m,25,2,4,14,14,14
m,25,2,5,8,8,8
m,25,2,6,4,4,4
m,25,2,7,5,5,5
m,25,2,8,10,10,10
m,25,2,9,8,8,8
m,25,2,10,3,3,3
m,25,2,11,9,9,9
m,25,2,12,4,4,4
m,25,2,13,11,11,11
m,25,2,14,6,6,6
m,25,2,15,7,7,7
m,25,2,16,5,5,5
m,25,2,17,8,8,8
m,25,2,18,7,7,7
m,25,2,19,7,7,7
m,25,2,20,7,7,7
m,25,2,21,7,7,7
m,25,2,22,6,6,6
m,25,2,23,3,3,3
m,25,2,24,29,29,29
m,25,2,25,2275,2275,2275
m,25,3,1,3,3,3
m,25,3,2,3,3,3
m,25,3,3,12,12,12
m,25,3,4,5,5,5
m,25,3,5,3,3,3
m,25,3,6,7,7,7
m,25,3,7,9,9,9
m,25,3,8,9,9,9
m,25,3,9,8,8,8
m,25,3,10,7,7,7
